Annee;B707;B717;B727;B737;B747;B757;B767;B777;B787;A220;A300;A310;A320;A330;A340;A350;A380
1974;21;0;91;55;22;0;0;0;0;0;4;0;0;0;0;0;0
1975;7;0;91;51;21;0;0;0;0;0;8;0;0;0;0;0;0
1976;9;0;61;41;27;0;0;0;0;0;13;0;0;0;0;0;0
1977;8;0;67;25;20;0;0;0;0;0;15;0;0;0;0;0;0
1978;13;0;118;40;32;0;0;0;0;0;15;0;0;0;0;0;0
1979;6;0;136;77;67;0;0;0;0;0;26;0;0;0;0;0;0
1980;3;0;131;92;73;0;0;0;0;0;39;0;0;0;0;0;0
1981;2;0;94;108;53;0;0;0;0;0;38;0;0;0;0;0;0
1982;8;0;26;95;26;2;20;0;0;0;46;0;0;0;0;0;0
1983;8;0;11;82;22;25;55;0;0;0;19;17;0;0;0;0;0
1984;8;0;8;67;16;18;29;0;0;0;19;29;0;0;0;0;0
1985;3;0;0;115;24;36;25;0;0;0;16;26;0;0;0;0;0
1986;4;0;0;141;35;35;27;0;0;0;10;19;0;0;0;0;0
1987;9;0;0;161;23;40;37;0;0;0;11;21;0;0;0;0;0
1988;0;0;0;165;24;48;53;0;0;0;17;28;16;0;0;0;0
1989;5;0;0;146;45;51;37;0;0;0;24;23;58;0;0;0;0
1990;4;0;0;174;70;77;60;0;0;0;19;18;58;0;0;0;0
1991;14;0;0;215;64;80;62;0;0;0;25;19;119;0;0;0;0
1992;5;0;0;218;61;99;63;0;0;0;22;24;111;0;0;0;0
1993;0;0;0;152;56;71;51;0;0;0;22;22;71;1;22;0;0
1994;1;0;0;121;40;69;41;0;0;0;23;2;64;9;25;0;0
1995;0;0;0;89;25;43;37;13;0;0;17;2;56;30;19;0;0
1996;0;0;0;76;26;42;43;32;0;0;14;2;72;10;28;0;0
1997;0;0;0;135;39;46;42;59;0;0;6;2;127;14;33;0;0
1998;0;0;0;282;53;54;47;74;0;0;13;1;168;23;24;0;0
1999;0;12;0;320;47;67;44;83;0;0;8;0;222;44;20;0;0
2000;0;32;0;282;25;45;44;55;0;0;8;0;241;43;19;0;0
2001;0;49;0;299;31;45;40;61;0;0;11;0;257;35;22;0;0
2002;0;20;0;223;27;29;35;47;0;0;9;0;236;42;16;0;0
2003;0;12;0;173;19;14;24;39;0;0;8;0;233;31;33;0;0
2004;0;12;0;202;15;11;9;36;0;0;12;0;233;47;28;0;0
2005;0;13;0;212;13;2;10;40;0;0;9;0;289;56;24;0;0
2006;0;5;0;302;14;0;12;65;0;0;9;0;339;62;24;0;0
2007;0;0;0;330;16;0;12;83;0;0;6;0;367;68;11;0;1
2008;0;0;0;290;14;0;10;61;0;0;0;0;386;72;13;0;12
2009;0;0;0;372;8;0;13;88;0;0;0;0;402;76;10;0;10
2010;0;0;0;376;0;0;12;74;0;0;0;0;401;87;4;0;18
2011;0;0;0;372;9;0;20;73;3;0;0;0;421;87;0;0;26
2012;0;0;0;415;31;0;26;83;46;0;0;0;455;101;2;0;30
2013;0;0;0;440;24;0;21;98;65;0;0;0;493;108;0;0;25
2014;0;0;0;485;19;0;6;99;114;0;0;0;490;108;0;1;30
2015;0;0;0;495;18;0;16;98;135;0;0;0;491;103;0;14;27
2016;0;0;0;490;9;0;13;99;137;0;0;0;545;66;0;49;28
2017;0;0;0;529;14;0;10;74;136;0;0;0;558;67;0;78;15
2018;0;0;0;580;6;0;27;48;145;20;0;0;626;49;0;93;12
2019;0;0;0;89;2;0;12;10;36;8;0;0;126;5;0;22;1
